Student_ID,Gender,Age,District,School_Type,Study_Hours_per_Week,Attendance,Parent_Education,Family_Income_BDT,Internet_Access,Private_Tuition,Previous_GPA,SSC_Result,HSC_Result
382,Female,18,Dhaka,Private,22,60,Secondary,53059,Yes,No,4.88,3.94,4.83
960,Male,17,Khulna,Private,16,91,Graduate,56045,No,No,3.59,4.78,3.13
50,Female,15,Khulna,Private,27,99,Primary,39301,Yes,Yes,4.08,4.55,3.71
61,Male,15,Dhaka,Private,5,83,Graduate,30674,No,No,3.57,4.14,4.62
588,Male,15,Chattogram,Private,10,63,Higher Secondary,27653,Yes,No,4.02,4.97,3.59
431,Male,15,Rajshahi,Public,26,78,Graduate,40573,Yes,Yes,4.84,4.55,3.91
976,Female,15,Sylhet,Public,23,79,Secondary,52598,Yes,Yes,3.68,4.6,3.4
693,Male,18,Rajshahi,Public,17,94,Primary,57115,No,Yes,3.28,4.78,3.26
614,Female,15,Rajshahi,Public,5,97,Primary,51850,No,No,3.97,4.16,4.89
549,Female,15,Barisal,Public,14,61,Higher Secondary,57645,No,No,4.96,4.21,3.81
828,Female,18,Dhaka,Public,19,84,Graduate,42626,Yes,Yes,4.77,4.17,3.95
885,Female,15,Mymensingh,Private,28,89,Secondary,29937,Yes,No,4.08,4.32,4.56
637,Male,15,Sylhet,Public,10,99,Higher Secondary,47292,No,No,4.01,4.34,3.01
199,Male,17,Barisal,Public,20,84,Graduate,43783,Yes,Yes,4.36,3.69,4.91
903,Female,15,Dhaka,Private,17,79,Primary,26252,Yes,Yes,4.78,4.41,3.67
722,Male,17,Khulna,Public,21,89,Secondary,17235,No,No,3.68,4.5,4.86
212,Male,18,Sylhet,Private,7,61,Primary,58287,No,Yes,3.52,4.68,3.76
399,Female,18,Sylhet,Private,28,68,Secondary,49346,No,Yes,4.81,4.02,4.83
362,Male,16,Chattogram,Private,13,80,Secondary,37332,No,Yes,3.24,4.83,4.65
880,Male,15,Mymensingh,Public,20,62,Higher Secondary,49255,No,No,4.59,3.53,3.1
437,Female,16,Barisal,Public,13,99,Primary,43367,No,No,4.23,3.51,3.12
496,Male,15,Mymensingh,Public,15,69,Secondary,38369,No,Yes,4.33,3.56,3.46
78,Female,15,Rangpur,Public,21,85,Secondary,13969,Yes,No,4.9,4.47,3.35
97,Female,16,Chattogram,Private,20,92,Primary,41730,No,Yes,3.51,4.7,4.14
328,Male,15,Rangpur,Public,29,62,Secondary,25960,No,Yes,3.86,4.8,3.87
307,Female,18,Chattogram,Private,6,88,Secondary,23666,No,Yes,4.87,4.22,3.82
121,Female,16,Mymensingh,Private,19,93,Primary,20374,Yes,No,3.38,3.7,4.16
102,Female,16,Khulna,Public,28,95,Higher Secondary,32766,Yes,No,3.99,4.22,3.25
465,Female,17,Khulna,Private,17,86,Secondary,42284,No,Yes,3.68,4.33,4.29
248,Male,16,Rangpur,Public,13,69,Higher Secondary,40564,Yes,Yes,3.31,4.39,3.47
30,Female,15,Mymensingh,Public,19,68,Graduate,24407,No,No,3.05,4.67,4.46
522,Male,15,Chattogram,Public,17,97,Higher Secondary,42263,Yes,Yes,4.83,4.68,3.66
632,Female,17,Rangpur,Public,15,68,Primary,51183,Yes,Yes,3.09,3.88,3.34
901,Male,18,Chattogram,Private,13,65,Secondary,25905,Yes,No,3.78,3.91,4.73
717,Male,18,Chattogram,Private,19,65,Primary,56751,Yes,No,4.7,3.73,4.23
6,Female,15,Sylhet,Public,14,68,Higher Secondary,48965,No,Yes,4.4,4.85,4.47
324,Female,16,Mymensingh,Private,10,88,Higher Secondary,24252,Yes,Yes,4.71,4.51,3.89
480,Female,18,Dhaka,Private,26,98,Primary,24414,No,Yes,3.34,4.96,3.14
64,Male,15,Mymensingh,Private,8,76,Secondary,25790,Yes,Yes,4.52,3.72,3.22
688,Male,15,Chattogram,Private,9,75,Higher Secondary,19706,Yes,No,4.61,3.58,3.45
55,Male,15,Rangpur,Public,23,72,Secondary,38310,No,No,3.52,3.78,3.97
644,Male,16,Dhaka,Private,16,81,Secondary,51439,Yes,No,3.71,4.54,4.82
232,Female,18,Khulna,Private,16,95,Higher Secondary,27793,No,No,3.72,3.85,4.71
696,Female,18,Barisal,Public,27,64,Secondary,36299,Yes,Yes,3.17,4.33,4.8
515,Female,18,Dhaka,Private,17,93,Graduate,27027,No,Yes,3.25,4.29,3.39
77,Female,16,Rajshahi,Private,26,95,Secondary,35763,No,Yes,3.99,3.92,4.53
936,Male,18,Dhaka,Private,27,90,Higher Secondary,17987,No,No,3.72,4.14,4.24
381,Female,16,Barisal,Public,18,97,Higher Secondary,27883,No,No,3.3,4.77,3.07
987,Female,16,Chattogram,Private,29,63,Secondary,12795,No,No,4.01,4.6,3.43
709,Female,18,Mymensingh,Public,15,72,Primary,37281,No,Yes,3.04,3.94,4.03
412,Female,16,Sylhet,Public,13,95,Higher Secondary,56448,No,Yes,3.17,4.08,3.81
714,Female,15,Rajshahi,Private,28,80,Graduate,28610,No,Yes,3.03,4.57,4.99
622,Female,16,Sylhet,Private,9,86,Graduate,28565,Yes,No,3.21,4.67,3.73
837,Male,16,Barisal,Public,7,96,Graduate,52330,Yes,Yes,3.36,4.55,3.06
650,Male,16,Barisal,Public,22,83,Secondary,15506,Yes,No,4.46,4.4,4.46
825,Female,15,Chattogram,Public,7,90,Graduate,45755,Yes,Yes,4.47,3.79,3.33
718,Female,17,Sylhet,Private,6,77,Primary,30590,No,No,4.78,4.16,4.97
26,Female,16,Chattogram,Public,22,95,Primary,58601,Yes,No,4.34,3.8,4.92
543,Male,18,Dhaka,Public,23,69,Higher Secondary,47167,No,No,4.28,4.88,3.62
56,Female,15,Sylhet,Public,29,69,Graduate,32927,No,No,4.68,4.84,4.37
868,Female,15,Barisal,Private,17,70,Higher Secondary,28061,Yes,Yes,4.38,4.77,4.37
947,Male,15,Khulna,Public,29,94,Secondary,15033,No,Yes,4.25,3.94,4.32
860,Male,15,Rangpur,Public,8,67,Graduate,18488,No,No,3.07,4.52,4.46
108,Female,16,Sylhet,Private,23,70,Secondary,28257,No,No,4.81,3.54,3.2
358,Female,17,Rangpur,Public,18,95,Primary,12994,Yes,No,4.96,3.86,3.34
605,Male,18,Rangpur,Private,19,70,Primary,43189,No,No,3.19,4.2,4.38
